Student ID,Operating System,DSA,Frontend,Backend,Machine Learning,Data Analytics,Project 1,Project 2,Project 3,Project 4
1,52,5,6,6,14,93,Cybersecurity,Cybersecurity,Cybersecurity,Robotics
2,41,65,80,65,75,34,Web Development,AI,Data Science,Game Development
3,53,65,100,98,11,55,Robotics,Game Development,Data Science,Machine Learning
4,62,97,97,9,97,91,AI,AI,Cybersecurity,AI
5,49,46,76,8,89,28,Robotics,Cybersecurity,Machine Learning,Robotics
6,41,67,19,36,77,90,Cybersecurity,AI,Machine Learning,Web Development
7,74,16,61,82,17,56,Robotics,Robotics,Game Development,AI
8,8,94,38,74,19,32,Web Development,Web Development,Cybersecurity,Cybersecurity
9,51,78,33,74,49,99,Cybersecurity,AI,Cybersecurity,Data Science
10,62,97,80,70,43,78,Cybersecurity,Robotics,AI,Game Development
11,19,20,93,11,15,91,Robotics,Game Development,AI,AI
12,45,40,35,74,40,44,Web Development,Cybersecurity,Data Science,AI
13,12,49,19,63,35,28,AI,Data Science,Robotics,Data Science
14,83,96,65,97,76,26,Cybersecurity,Machine Learning,Machine Learning,Web Development
15,82,88,6,45,21,63,Web Development,AI,AI,Robotics
16,78,36,7,20,92,19,Machine Learning,Machine Learning,Cybersecurity,Game Development
17,38,48,7,99,40,18,Robotics,Web Development,Cybersecurity,Robotics
18,24,79,11,16,15,91,Cybersecurity,Web Development,Web Development,Robotics
19,40,75,100,79,24,38,Machine Learning,Game Development,Web Development,Cybersecurity
20,29,50,63,45,51,5,Robotics,Game Development,Robotics,Cybersecurity
21,41,100,86,90,67,28,Machine Learning,Game Development,Game Development,Robotics
22,91,43,70,89,82,22,Web Development,Machine Learning,Cybersecurity,Cybersecurity
23,9,80,7,15,41,57,Robotics,AI,Robotics,Data Science
24,65,16,6,45,87,54,Web Development,Game Development,Game Development,Robotics
25,47,94,32,69,15,79,Cybersecurity,Cybersecurity,Data Science,Robotics
26,54,62,63,84,71,15,Game Development,Web Development,AI,Robotics
27,37,60,41,86,80,64,Data Science,Game Development,Robotics,AI
28,42,20,43,33,68,26,Data Science,Web Development,Web Development,AI
29,31,59,71,20,36,100,Cybersecurity,AI,Data Science,AI
30,28,79,61,90,78,46,Game Development,Machine Learning,AI,Robotics
31,37,71,48,79,74,83,Robotics,Web Development,Game Development,Game Development
32,69,71,20,60,69,95,Machine Learning,Game Development,Web Development,Game Development
33,27,35,44,32,63,26,Data Science,Game Development,Cybersecurity,AI
34,53,25,53,41,77,76,Robotics,Cybersecurity,Cybersecurity,Data Science
35,84,28,87,52,54,36,Robotics,Game Development,Web Development,Robotics
36,85,54,70,37,61,43,AI,Cybersecurity,Web Development,Cybersecurity
37,31,88,80,60,16,35,Game Development,Web Development,Robotics,Machine Learning
38,17,6,35,57,69,8,AI,Data Science,Machine Learning,Robotics
39,35,51,83,62,82,9,Data Science,AI,Data Science,Data Science
40,89,94,89,77,36,75,Web Development,Web Development,Web Development,Web Development
41,9,41,62,29,11,35,Game Development,AI,AI,Game Development
42,27,49,14,50,99,91,Machine Learning,Web Development,Web Development,Web Development
43,82,5,68,65,18,31,AI,AI,Game Development,AI
44,38,35,98,89,92,53,Game Development,Machine Learning,Web Development,AI
45,33,30,90,92,8,100,Web Development,Machine Learning,Robotics,Robotics
46,50,5,60,44,30,52,Data Science,Web Development,Game Development,Robotics
47,29,33,92,52,75,69,AI,Cybersecurity,Machine Learning,AI
48,97,29,35,56,84,41,Cybersecurity,Machine Learning,Data Science,Robotics
49,12,93,67,30,73,83,Game Development,Cybersecurity,Web Development,Web Development
50,56,80,59,75,59,94,Cybersecurity,Web Development,Web Development,Cybersecurity
51,84,75,40,5,65,52,Machine Learning,Robotics,Data Science,AI
52,66,68,17,10,31,54,Machine Learning,Machine Learning,AI,AI
53,91,25,99,78,48,10,Data Science,Web Development,Data Science,Machine Learning
54,55,25,22,24,68,56,Machine Learning,Game Development,Machine Learning,Game Development
55,13,44,73,72,59,22,AI,AI,Game Development,AI
56,60,80,50,5,76,56,Game Development,Game Development,Data Science,Game Development
57,10,67,53,73,36,61,Data Science,AI,Game Development,AI
58,29,21,56,70,76,70,Robotics,Robotics,Web Development,Robotics
59,24,32,25,60,47,80,Cybersecurity,AI,Game Development,Game Development
60,62,59,69,42,34,38,Machine Learning,Robotics,Cybersecurity,Web Development
61,66,58,66,29,56,51,Cybersecurity,Web Development,AI,Data Science
62,16,65,43,24,85,91,Robotics,Robotics,Web Development,Game Development
63,25,96,74,82,75,99,Web Development,Web Development,Data Science,Cybersecurity
64,77,20,100,40,38,55,Web Development,Machine Learning,Machine Learning,Data Science
65,22,20,14,96,19,48,Web Development,Cybersecurity,Data Science,Game Development
66,45,60,92,87,28,65,Robotics,Web Development,Robotics,Game Development
67,75,85,16,48,21,77,AI,Game Development,AI,Game Development
68,100,89,75,10,67,70,Game Development,Web Development,Cybersecurity,Data Science
69,45,64,77,97,39,54,Cybersecurity,Web Development,AI,AI
70,30,45,69,48,64,31,Web Development,AI,Cybersecurity,AI
71,46,31,36,17,63,77,Game Development,Cybersecurity,Machine Learning,AI
72,47,13,18,43,36,25,Machine Learning,Web Development,Machine Learning,Data Science
73,86,34,23,76,20,49,Cybersecurity,AI,Machine Learning,AI
74,25,75,6,36,8,19,Robotics,Cybersecurity,Machine Learning,Data Science
75,16,13,100,63,7,42,Game Development,Machine Learning,Game Development,Cybersecurity
76,22,93,82,34,45,74,Cybersecurity,AI,Web Development,AI
77,70,72,79,84,20,42,Web Development,Cybersecurity,Cybersecurity,Cybersecurity
78,73,85,18,20,52,49,AI,Data Science,Cybersecurity,Machine Learning
79,78,19,94,66,60,19,Game Development,Cybersecurity,Cybersecurity,Robotics
80,90,22,62,15,20,64,Robotics,Robotics,Web Development,AI
81,44,92,21,62,12,82,Data Science,Data Science,Cybersecurity,AI
82,97,92,57,87,93,27,Cybersecurity,Machine Learning,Game Development,Machine Learning
83,93,28,77,82,50,21,Data Science,Web Development,Cybersecurity,Robotics
84,92,57,92,68,44,86,Web Development,Robotics,Cybersecurity,Machine Learning
85,19,73,85,92,13,89,Game Development,Cybersecurity,Web Development,AI
86,86,75,70,80,24,33,Web Development,Robotics,Game Development,Machine Learning
87,71,11,40,37,31,7,Game Development,Robotics,Game Development,Web Development
88,74,55,94,14,79,17,Cybersecurity,Cybersecurity,Game Development,AI
89,38,5,85,7,75,12,Cybersecurity,Robotics,Robotics,AI
90,23,87,45,9,59,100,Web Development,Cybersecurity,Machine Learning,AI
91,29,94,84,87,97,7,Data Science,AI,AI,Web Development
92,94,56,21,27,53,64,Robotics,Data Science,Game Development,Machine Learning
93,67,55,72,66,37,41,Web Development,Web Development,Robotics,Web Development
94,79,20,60,73,67,34,Cybersecurity,Web Development,Data Science,Web Development
95,95,29,67,46,70,43,AI,Data Science,Cybersecurity,Web Development
96,57,50,34,32,52,83,Game Development,Web Development,Web Development,Robotics
97,27,92,56,43,56,72,Machine Learning,Data Science,AI,Robotics
98,57,25,53,80,80,44,Web Development,Data Science,Web Development,AI
99,76,81,5,64,10,42,Game Development,Cybersecurity,Robotics,Web Development
100,36,91,11,58,55,70,Cybersecurity,AI,Data Science,Game Development
101,46,21,31,84,28,62,AI,Robotics,Robotics,Web Development
102,67,41,24,36,16,87,Robotics,Web Development,Game Development,AI
103,35,98,77,30,75,61,Robotics,Robotics,Cybersecurity,Game Development
104,97,39,87,74,74,83,Cybersecurity,Robotics,Machine Learning,Cybersecurity
105,28,43,9,21,46,74,Machine Learning,Cybersecurity,AI,Game Development
106,27,55,24,64,7,93,Data Science,AI,Web Development,Game Development
107,36,47,23,90,43,15,Robotics,Web Development,Robotics,Game Development
108,75,89,9,34,68,83,Cybersecurity,AI,Robotics,Robotics
109,51,17,18,49,81,77,Data Science,Web Development,Web Development,Web Development
110,70,53,99,12,24,59,Game Development,AI,Machine Learning,AI
111,9,28,18,55,73,35,Data Science,Web Development,Game Development,Data Science
112,20,21,100,55,100,29,Data Science,Cybersecurity,Web Development,Web Development
113,74,25,84,81,42,65,AI,Robotics,AI,AI
114,80,7,95,77,67,31,Game Development,Data Science,Cybersecurity,Web Development
115,66,100,37,5,14,32,Machine Learning,Game Development,Web Development,Cybersecurity
116,55,54,85,88,7,82,Cybersecurity,Machine Learning,Data Science,Cybersecurity
117,51,81,89,49,37,78,Data Science,Machine Learning,Cybersecurity,Cybersecurity
118,88,75,20,22,27,87,Data Science,Game Development,Data Science,Robotics
119,48,66,73,28,10,32,Web Development,Data Science,AI,Cybersecurity
120,71,39,56,14,23,81,AI,Cybersecurity,Robotics,AI
121,83,88,79,50,56,14,Machine Learning,Robotics,Web Development,AI
122,21,79,25,63,9,35,AI,AI,AI,Cybersecurity
123,54,69,35,7,37,51,Data Science,Cybersecurity,AI,Data Science
124,8,72,75,47,31,73,Web Development,Game Development,Cybersecurity,Cybersecurity
125,26,60,78,86,6,78,Data Science,Web Development,Cybersecurity,Web Development
126,48,54,72,39,16,57,Web Development,Game Development,Game Development,Cybersecurity
127,8,61,97,18,26,41,Robotics,Robotics,Game Development,AI
128,10,35,36,17,10,90,Game Development,Game Development,Data Science,AI
129,97,36,70,67,59,56,Machine Learning,Game Development,Cybersecurity,Robotics
130,75,71,89,9,87,46,Data Science,AI,Cybersecurity,Web Development
131,58,75,74,82,53,66,Robotics,Cybersecurity,Data Science,Game Development
132,52,96,39,26,88,55,Cybersecurity,Data Science,Web Development,AI
133,86,55,60,20,13,42,Data Science,Cybersecurity,AI,Machine Learning
134,99,39,88,37,37,51,AI,Game Development,Data Science,Machine Learning
135,81,5,66,50,65,31,Robotics,AI,Robotics,Machine Learning
136,77,25,19,82,49,72,Machine Learning,Machine Learning,Robotics,Data Science
137,48,99,61,5,82,44,Machine Learning,Cybersecurity,Robotics,Data Science
138,53,63,23,10,21,9,AI,Machine Learning,Web Development,AI
139,84,90,56,33,44,98,Game Development,Game Development,Cybersecurity,AI
140,82,14,57,100,64,24,Data Science,Web Development,Web Development,Machine Learning
141,31,58,100,7,66,45,Web Development,Robotics,Machine Learning,AI
142,36,85,96,41,36,34,AI,Web Development,Data Science,Game Development
143,48,76,83,95,16,85,Robotics,Web Development,Data Science,AI
144,74,88,53,47,51,12,Cybersecurity,Cybersecurity,Robotics,Machine Learning
145,60,74,46,48,37,8,Cybersecurity,Web Development,Robotics,Robotics
146,99,92,65,76,18,93,Data Science,Cybersecurity,AI,Game Development
147,21,74,77,10,31,39,Data Science,Game Development,Cybersecurity,AI
148,46,86,20,89,90,80,Game Development,Robotics,Data Science,Machine Learning
149,57,6,94,54,56,79,Robotics,AI,AI,Data Science
150,17,21,100,98,7,76,Cybersecurity,Robotics,Machine Learning,Data Science
151,32,48,81,29,31,43,Machine Learning,Robotics,Cybersecurity,Robotics
152,72,38,61,55,56,37,Web Development,Data Science,Machine Learning,Machine Learning
153,69,14,48,98,96,84,Game Development,Machine Learning,Data Science,Game Development
154,50,54,78,30,34,36,Machine Learning,Robotics,Robotics,Cybersecurity
155,5,78,48,17,38,29,Game Development,Cybersecurity,Data Science,Data Science
156,99,48,75,41,78,55,AI,Robotics,Data Science,Game Development
157,95,57,48,75,95,5,Game Development,Data Science,Data Science,Cybersecurity
158,59,57,25,59,53,37,Machine Learning,Game Development,Data Science,Cybersecurity
159,80,92,94,97,27,39,AI,Game Development,Data Science,Robotics
160,96,58,15,96,54,30,Game Development,Cybersecurity,Machine Learning,Game Development
161,92,89,99,68,32,84,Web Development,Cybersecurity,Game Development,Data Science
